InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,SalePrice
52389,1/1/2014,United Kingdom,2152,UK2,Male,11,44,10.5, $159.00 ,0%, $159.00 
52390,1/1/2014,United States,2230,US15,Male,11.5,44-45,11, $199.00 ,20%, $159.20 
52391,1/1/2014,Canada,2160,CAN7,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
52392,1/1/2014,United States,2234,US6,Female,9.5,40,7.5, $159.00 ,0%, $159.00 
52393,1/1/2014,United Kingdom,2222,UK4,Female,9,39-40,7, $159.00 ,0%, $159.00 
52394,1/1/2014,United States,2173,US15,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
52395,1/2/2014,Germany,2200,GER2,Female,9,39-40,7, $179.00 ,0%, $179.00 
52396,1/2/2014,Canada,2238,CAN5,Male,10,43,9.5, $169.00 ,0%, $169.00 
52397,1/2/2014,United States,2191,US13,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52398,1/2/2014,United Kingdom,2237,UK1,Female,9,39-40,7, $149.00 ,0%, $149.00 
52399,1/2/2014,United States,2197,US1,Male,10,43,9.5, $129.00 ,0%, $129.00 
52399,1/2/2014,United States,2213,US11,Female,9.5,40,7.5, $169.00 ,10%, $152.10 
52399,1/2/2014,United States,2206,US2,Female,9.5,40,7.5, $139.00 ,0%, $139.00 
52400,1/2/2014,United States,2152,US15,Male,8,41,7.5, $139.00 ,0%, $139.00 
52401,1/3/2014,Germany,2235,GER1,Male,10.5,43-44,10, $169.00 ,50%, $84.50 
52401,1/3/2014,Germany,2197,GER1,Female,8.5,39,6.5, $179.00 ,20%, $143.20 
52402,1/3/2014,Canada,2240,CAN6,Male,9.5,42-43,9, $199.00 ,30%, $139.30 
52403,1/3/2014,United States,2221,US7,Male,11,44,10.5, $149.00 ,50%, $74.50 
52404,1/3/2014,United States,2234,US6,Female,9.5,40,7.5, $159.00 ,0%, $159.00 
52404,1/3/2014,United States,2197,US1,Male,10,43,9.5, $129.00 ,0%, $129.00 
52404,1/3/2014,United States,2213,US11,Female,9.5,40,7.5, $169.00 ,10%, $152.10 
52405,1/3/2014,United States,2213,US7,Female,8,38-39,6, $139.00 ,0%, $139.00 
